,type,fact_check_url,archieve,news_url,news_url2,news_url3,news_url4,news_url5,title,newstitle,content,abstract,publish_date,meta_keywords
623,post,https://www.factcheck.org/2020/07/face-mask-exempt-card-isnt-legitimate/,http://archive.is/LC508,https://www.facebook.com/tednugent/photos/a.10151655803922297/10157675320757297/?type=3&theater,,,,,A “face mask exempt card” shared on social media invokes the Americans with Disabilities Act and claims to excuse people from wearing face masks.,"""Ted Nugent""",snag limbrats that daddy 22s out of the towering oak canopies every damn day. is there a dog in the history of canines happier than my happy. do n't think so. aim small miss small bushytail fricassee culinary delight. ,ted nugent added a new photo .. ,,""""""
624,post,https://www.factcheck.org/2020/07/video-presents-flawed-test-on-masks-oxygen-levels/,http://archive.is/l3qLv,https://www.facebook.com/jeff.neff.528/videos/vb.1395070024/10223325902121203/?type=2&theater,,,,,A test on video with a gas detector shows that face masks result in dangerous oxygen levels for the wearer.,"""Jeff""",see more of jeff neff on facebook. ,face masks you decide. this is worth a few minutes of your time. if you want to watch the video click on the see video link at the bottom then play it .... ,,""""""
625,post,https://www.factcheck.org/2020/06/painting-of-children-in-masks-isnt-a-1994-airport-mural/,http://archive.is/vv6OB,https://twitter.com/SexCounseling/status/1276499544381902850,https://www.facebook.com/photo.php?fbid=10213844324302868&set=a.2460052161252&type=3&theater,https://www.facebook.com/112390917148814/posts/134193021635270,,,A painting depicting children in face masks was created as a mural for the Denver airport in 1994 proving the COVID-19 pandemic was planned.,"""""",we 've detected that javascript is disabled in your browser. would you like to proceed to legacy twitter. ,,,""""""
626,article,https://healthfeedback.org/claimreview/contrary-to-popular-claim-on-social-media-rna-vaccines-do-not-alter-our-dna/,https://archive.is/51Jn0,https://www.wakingtimes.com/2020/05/15/bill-gates-explains-that-the-covid-vaccine-will-use-experimental-technology-and-permanently-alter-your-dna/,,,,,According to Bill Gates the COVID-19 RNA vaccine will permanently alter our DNA. RNA vaccines can also cause autoimmunity.,"""403 Forbidden""",,,,""""""
627,post,https://www.factcheck.org/2020/06/meme-misrepresents-florida-surgeon-generals-position-on-face-masks/,,https://www.facebook.com/photo.php?fbid=4240482755963556&set=a.137062036305669&type=3&theater,,,,,Meme shows Florida Surgeon General saying: Everyone should STOP wearing masks as they have now been found to be harmful to your health.,"""Jeff Cloud""",see more of jeff cloud on facebook. ,it 's all coming out now ..... ,,""""""
628,post,https://www.politifact.com/factchecks/2020/jun/23/viral-image/no-aoc-didnt-tweet-about-closing-businesses-until-/,,https://www.facebook.com/photo.php?fbid=10156967367381396&set=a.10151139125251396&type=3&theater,,,,,Alexandria Ocasio-Cortez tweeted “It’s vital that Governors maintain restrictions on businesses until after the November Elections because economic recovery will help Trump be re-elected. A few business closures or job losses is a small price to pay to be free from his presidency. #KeepUsClosed.”,"""Theresa Ivancik""",see more of theresa ivancik on facebook. ,,,""""""
629,post,https://www.politifact.com/factchecks/2020/jun/24/donald-trump/donald-trump-wrong-greater-testing-driving-coronav/,,https://twitter.com/realDonaldTrump/status/1275510212384788480,,,,,COVID-19 cases are “up only because of our big number testing” in the United States.,"""""",we 've detected that javascript is disabled in your browser. would you like to proceed to legacy twitter. ,,,""""""
630,post,https://www.politifact.com/factchecks/2020/jun/29/viral-image/no-wearing-mask-doesnt-void-concealed-carry-permit/,,https://www.facebook.com/photo.php?fbid=1535861389928817&set=a.298802370301398&type=3&theater,,,,,If you are licensed to carry a concealed weapon wearing a face covering for coronavirus “removes your conceal carry ability.”,"""Chad Hernandez""",see more of chad hernandez on facebook. ,[],,""""""
631,post,https://www.factcheck.org/2020/06/fake-aoc-tweet-politicizes-covid-19-business-restrictions/,http://archive.is/Z8dNh,https://twitter.com/PhilMcCrackin44/status/1275495523500331009,https://twitter.com/JmeDubya/status/1275512088769617920,https://www.instagram.com/p/CByRGdZAd1w/?utm_source=ig_embed,https://www.instagram.com/p/CByAnHJAPiU/?utm_source=ig_embed,https://www.facebook.com/2066881336880155/posts/2672022136366069,Claim that Rep. Alexandria Ocasio-Cortez tweeted that U.S. governors should extend COVID-19 restrictions on businesses “until after the November Elections.”,"""""",we 've detected that javascript is disabled in your browser. would you like to proceed to legacy twitter. ,,,""""""
632,,https://www.politifact.com/factchecks/2020/jun/26/facebook-posts/facebook-post-wrong-about-wearing-mask-carrying-co/,,,,,,,In North Carolina “you can be charged with a class H felony for wearing a mask and concealed carrying.”,,,,,
633,post,https://www.politifact.com/factchecks/2020/jun/26/instagram-posts/face-mask-exempt-card-doesnt-exempt-you-wearing-ma/,https://archive.vn/YQUm2,https://www.instagram.com/p/CBxutmXAT76/?utm_source=ig_embed,,,,,A “face mask exempt card” allows you to cite the ADA and not wear a mask.,"""@alphagrown17 on : “🗣I DIDN’T MAKE THIS I’M JUST REPOSTING IT!!!!🗣😌 ...🚨🚨🚨🚨😂REPOST🚨🚨🚨🚨DONT LEAVE HOME WITHOUT IT🤷🏻‍♂️ 🚨🚨🚨 🇺🇸 🇺🇸 MAGA🇺🇸🇺🇸🚨🚨🚨🚨 🚨 🇺🇸#fakenews…”""",,"4,050 likes 484 comments @alphagrown17 on instagram i did nt make this i m just reposting it .... repostdont leave home without it. ",,""""""
634,article,https://healthfeedback.org/claimreview/no-scientific-evidence-indicates-that-cannabis-can-prevent-or-cure-covid-19-in-patients-the-next-web/,https://archive.fo/kQGxa,https://thenextweb.com/corona/2020/05/22/cannabis-is-more-effective-at-preventing-and-treating-covid-19-than-hydroxychloroquine/?fbclid=IwAR1o6kCoSM3O10aUhC8MlWBT5K5tgbVT6BHPC_wrbb0W5zmwVyqDCQgTNVI,,,,,A scientific study shows that cannabis is more effective at preventing and treating COVID-19 than hydroxychloroquine.,"""405 You have been blacklisted, KTHXBAI""",error 405 you have been blacklisted kthxbai you have been blacklisted kthxbai. ,,,""""""
635,post,https://factcheck.afp.com/disgraced-us-researcher-makes-false-claims-about-vaccine-safety,https://perma.cc/272Y-54BS,https://www.youtube.com/watch?v=tKsXVilB1Dk&fbclid=IwAR2u38543fes7WJvacn4oaeioOpuCaMQgX4IT0LUZZ6YIvglNSRBlCMvSqM,https://www.facebook.com/dena.churchill/videos/vb.100000620553294/3516729845024333/?type=2&theater,https://www.facebook.com/autumnmariehughes/videos/3151268491562463/,,,A short portion of an interview given by discredited researcher Judy Mikovits in which she claims that a vaccine for COVID-19 will be deadly warns against immunization and advocates for a five-year moratorium to test all vaccines has been watched tens of thousands of times on YouTube and Facebook.,"""Dr Judy Mikovits explains why 50 million Americans may die this fall about 17% of the entire popu""",,enjoy the videos and music you love upload original content and share it all with friends family and the world on youtube .. ,6/14/20,"""video, sharing, camera phone, video phone, free, upload"""
636,post,https://factcheck.afp.com/covid-19-cases-spike-us-mask-misinformation-also-spreads,http://archive.is/m97Dl,https://www.instagram.com/p/CB0UvXCJol9/?utm_source=ig_embed,https://www.instagram.com/p/CB0nXWnBCF2/?utm_source=ig_embed,https://www.facebook.com/photo.php?fbid=3755758001106950&set=a.146452538704199&type=3&theater,,,Social media posts shared thousands of times in the United States contain multiple false or misleading claims about face masks used to stop the spread of COVID-19,"""Fitqness on : “Reposted from @drsebifoodlist (First half) ""Copied from an OSHA certified gentleman: So Masks? I am OSHA 10&30 certified. I know some of…”""",,17 likes 2 comments fitqness @fitqness1 on instagram reposted from @drsebifoodlist first half quot;copied from an osha certified gentleman so masks. i. ,,""""""
637,article,https://www.politifact.com/factchecks/2020/jun/23/donald-trump/trump-wrongly-claims-biden-wants-prosecute-churchg/,,https://factba.se/transcript/donald-trump-speech-kag-rally-tulsa-oklahoma-june-20-2020,,,,,“Joe Biden and the Democrats want to prosecute Americans for going to church but not for burning a church.”,"""Transcript Quote - Speech: Donald Trump Holds a Political Rally in Tulsa, Oklahoma - June 20, 2020""",little bit right of the people. ,speech donald trump holds a political rally in tulsa oklahoma june 20 2020. ,,"""donald j. trump, twitter, tweets, assets, liabilities, search, network donald trump, wife, president, net worth, speech, education, hair, twitter, deleted tweets, campaign, children, latest news, bankruptcy, political views, interview, wives, religion, birthday, quotes, republican,"""
638,post,https://healthfeedback.org/claimreview/osha-recommends-the-use-of-cloth-face-coverings-at-the-workplace-contrary-to-claim-by-peggy-hall/,http://archive.md/SawIb,https://www.youtube.com/watch?v=3STOGvsVCPs,,,,,The U.S. Occupational Safety and Health Administration (OSHA) says masks don’t work and violate OSHA oxygen levels.,"""""",,enjoy the videos and music you love upload original content and share it all with friends family and the world on youtube .. ,,"""video, sharing, camera phone, video phone, free, upload"""
639,post,https://www.politifact.com/factchecks/2020/jun/24/facebook-posts/yes-gov-newsom-has-authority-make-masks-mandatory-/,,https://www.facebook.com/1619585186/videos/10220271515410928/,,,,,Gov. Gavin Newsom “has no legal authority” to make wearing face coverings mandatory in California.,"""Log In or Sign Up to View""",you must log in to continue .. ,,,""""""
640,,https://www.washingtonpost.com/politics/2020/06/25/trump-keeps-saying-obama-left-him-no-ventilators-number-is-16660/,,,,,,,President Trump’s claim that he inherited no ventilators from the Obama administration.,,,,,
641,article,https://www.politifact.com/factchecks/2020/jun/25/facebook-posts/no-osha-does-not-say-masks-dont-work-against-covid/,https://archive.fo/LXahN,https://www.greenmedinfo.com/blog/osha-says-masks-dont-work-and-violate-osha-oxygen-levels2?fbclid=IwAR1LHhQGaJ5hapoL-AtzTeJVTmyMiROW1YxRc4mE9u_WXz8gK2bqyR1lj7c,,,,,“OSHA says masks don’t work” to reduce COVID-19 transmission “and violate OSHA oxygen levels.”,"""OSHA SAYS MASKS DON'T WORK -- AND VIOLATE OSHA OXYGEN LEVELS""",peggy hall from www.thehealthyamerican.org explains how the us. department of labor occupational and safety and health administration 's guidelines clearly show cloth and surgical masks do n't work to reduce transmission of covid-19 and how they deplete the body of oxygen causing adverse health effects. update peggy followed up with a second video below titled your mask protects me. dr. blaylock face masks pose serious risks to the healthy should you wear a mask to prevent covid-19. ,,,""""""
642,article,https://healthfeedback.org/claimreview/no-bill-gates-is-not-funding-covid-19-vaccines-as-a-way-to-conduct-global-surveillance-or-to-depopulate-the-world/,https://archive.fo/UXeTD,https://thetruthaboutcancer.com/covid-19-conspiracies-vaccines-bill-gates/?fbclid=IwAR0PKaujEmHu3wo14lfD86lHvdbSzJ4SZowiKTXv3PdLRIj8wSXgquIQ-9g,,,,,Bill Gates who has led harmful vaccination campaigns in developing countries now plans to use COVID-19 vaccines to surveil the population.,"""COVID-19: Conspiracies, Vaccines & Bill Gates""",there are lots of things about this pandemic that seem a bit off starting with its origin. we reported in early february that reports that the coronavirus originated in a wuhan food market were false. we reported that the virus was likely man made and probably originated in a secret bio lab in wuhan. that story was widely criticized and virtually all major media outlets insisted that the virus was natural that its transmission originated with bats and that it definitely started spreading. ,this pandemic seems a bit odd ... starting with its origin. early reports that it originated in a wuhan food market were false. ,2020-06-13T12:54:04+00:00,""""""
