,type,fact_check_url,news_url,title,newstitle,content,abstract,publish_date,meta_keywords
2658,article,healthline.com,https://www.healthline.com/health-news/what-we-can-learn-from-the-resurgence-of-covid-19-in-spain,What We Can Learn from the Resurgence of COVID-19 in Spain,"""What We Can Learn from the Resurgence of COVID-19 in Spain""",experts say crowded beaches like this one in barcelona are part of reason spain is experiencing increase in covid-19 cases. getty images spain is experiencing resurgence of covid-19 cases after lockdowns this spring had brought disease under control. experts say spike has occurred because businesses reopened too soon and public gatherings were held without proper safety precautions. they add that spains federal government has passed along responsibility for containing. ,experts say covid-19 cases have surged in spain because businesses reopened too soon and public gatherings were allowed to happen without proper safety precautions .. ,,"""spain resurgence covid19 coronavirus cases lessons for united states"""
2659,article,healthline.com,https://www.healthline.com/health-news/why-approving-a-covid-19-vaccine-too-early-could-cause-more-harm-than-good,Why Approving a COVID-19 Vaccine Too Early Could Cause More Harm Than Good,"""Why Approving a COVID-19 Vaccine Too Early Could Be Dangerous""",increasing number of healthcare experts say they re concerned that fda may give emergency use authorization to covid-19 vaccine before all vital data regarding its safety and effectiveness is available. getty images in united states push to create and release vaccine under title operation warp speed has made headlines. president donald trump said he hoped to have vaccine in october which would mean it being approved just before november election. exper. ,increasing number of healthcare experts say they re concerned fda may give emergency use authorization eua to covid-19 vaccine before all vital data regarding its safety and effectiveness is available .. ,,"""covid-19, coronavirus, viral infection, vaccine, COVID-19 vaccine, FDA, phase 3 clinical trial, emergency use authorization, EUA"""
2660,article,healthline.com,https://www.healthline.com/health-news/flu-allergies-coronavirus-different-symptoms,"Not Sure You Have COVID-19? Here Are the Symptoms for Coronavirus, Flu, and Allergies","""Different Symptoms for Coronavirus, Flu, and Allergies""",fatigue and body aches are symptoms of both flu and novel coronavirus but flu usually does nt cause shortness of breath. getty images experts note that novel coronavirus flu and allergies have different symptoms. main symptoms of novel coronavirus are fever tiredness cough and shortness of breath. allergies have more chronic symptoms and include sneezing wheezing and coughing. flu has symptoms similar to novel coronavirus such as fever and bod. ,fatigue and body aches are symptoms of both flu and new coronavirus but flu usually does nt cause shortness of breath .. ,,"""flu symptoms allergy symptoms coronavirus symptoms, what are differences between coronavirus flu allergy symptoms"""
2661,article,healthline.com,https://www.healthline.com/health-news/flu-study-highlights-difficulty-of-achieving-covid-19-herd-immunity,Flu Study Highlights Difficulty of Achieving COVID-19 'Herd Immunity',"""Flu Study Highlights Difficulty of Achieving COVID-19 'Herd Immunity'""",researchers say women are more likely than men to get flu shot. they add that whites and asians also have higher rates of immunization. getty images in new study researchers say low influenza vaccination rate in certain parts of united states does nt bode well for this years flu season. they add that trend could also affect how many people are willing to get immunized against covid-19 once vaccine is available for that disease. they note that combination of flu and co. ,researchers say women are more likely than men to get flu shot. they add that whites and asians also have higher rates of immunization. ,,"""covid19 coronavirus vaccine 80 percent effective herd immunity"""
2662,article,healthline.com,https://www.healthline.com/health-news/resign-or-return-the-dilemma-facing-classroom-teachers-in-our-covid-19-era,Resign or Return? The Dilemma Facing Classroom Teachers in Our COVID-19 Era,"""Resign or Return? The Dilemma for Classroom Teachers in COVID-19""",some teachers have quit while others have sued over state plans to require educators to instruct students in classrooms during covid-19 pandemic. getty images as some school districts order campuses to reopen teachers are facing decision whether to quit their jobs or return to classroom during covid-19 pandemic. debate has led some teachers unions to file lawsuits against states where schools have been ordered to begin in person learning again. educators say it can be. ,as some schools are ordered to reopen many teachers are facing concerns about their health as well as covid-19 dangers to students and their families .. ,,"""covid19 coronavirus school classrooms reopening teachers health concerns, teachers retire quit covid19 coronavirus schools classrooms, Iowa schools classrooms COVID19 coronavirus pandemic"""
2663,article,healthline.com,https://www.healthline.com/health-news/fda-approves-5-covid-19-test-that-gives-results-in-15-minutes,FDA Approves $5 COVID-19 Test That Gives Results in 15 Minutes,"""FDA Approves $5 COVID-19 Test That Gives Results in 15 Minutes""",new covid-19 test will cost just 5. getty images fda has given emergency approval to new covid-19 test that can give results in 15 minutes. test is not as accurate as pcr tests that can take days to get result. experts say more tests may help us get handle on covid-19 pandemic. all data and statistics are based on publicly available data at time of publication. some information may be out of date. visit our coronavirus hub and follow our live updates page for m. ,fda has issued emergency use authorization for abbott laboratorys rapid covid-19 test. its inexpensive and results can be read within minutes. however its not as accurate as tests sent to lab. ,,"""COVID-19, coronavirus, viral infection"""
2664,article,healthline.com,https://www.healthline.com/health-news/staying-6-feet-apart-often-isnt-enough-during-covid-19-pandemic,Staying 6 Feet Apart Often Isn’t Enough During COVID-19 Pandemic,"""Staying Six Feet Apart Often Isn't Enough During COVID-19 Pandemic""",researchers say people ca nt just rely on staying six feet apart to stop spread of covid-19. getty images to reduce your risk of contracting covid-19 public health experts recommend staying 6 feet away from people outside your bubble but experts say that is nt always enough. 6-foot rule dates back to late 1800s when german scientist found that pathogens were present in large droplets expelled from nose and mouth. however wind and weather can affect how droplets trav. ,medical experts reported in medical journal bmj that there are many situations where 6 feet is not enough to keep your risk low during covid-19 pandemic .. ,,"""COVID-19, coronavirus, viral infection"""
2665,article,healthline.com,https://www.healthline.com/health-news/despite-new-safety-guidelines-experts-say-movie-theaters-are-high-risk,"Despite New Safety Guidelines, Experts Say Movie Theaters Are High-Risk","""Movie Theaters Reopening, but Experts Say It’s Not Worth the Risk""",many movie theaters have begun reopening their doors to public in states where they re able to do so. national association of theatre owners nato says more than 340 companies representing more than 32.000 screens across united states have signed up to follow their cinema safe program. this outlines voluntary safety protocols that include mandating masks reducing capacity making hand sanitizer readily available and limiting concessions. even with new safety guidelines in. ,even with new safety guidelines in place health experts say going to movies is very risky during pandemic .. ,,"""covid 19, coronavirus, movie theaters reopening, are movie theaters safe,"""
2666,article,healthline.com,https://www.healthline.com/health-news/yes-you-can-get-covid-19-again,"Yes, You Can Get COVID-19 Again: What to Know","""Yes, You Can Get COVID-19 Again: What to Know""",wearing mask even outdoors is key to avoiding virus that causes covid-19. getty images researchers have found that man contracted new coronavirus second time months after his original illness. case suggests reinfection can occur few months after recovering from initial bout of covid-19. however it appears his immune system protected man from serious symptoms. all data and statistics are based on publicly available data at time of publication. some informat. ,33-year old man in hong kong contracted new coronavirus second time just 4 1/2 months after recovering from his first infection. though anecdotal stories about potential reinfection have recently been circulating this is first documented case of sars cov-2 reinfection. ,,"""covid-19, coronavirus, viral infection"""
2667,article,healthline.com,https://www.healthline.com/health-news/blood-thinners-blood-pressure-meds-may-improve-covid-19-survival-rate,"Blood Thinners, Blood Pressure Meds May Improve COVID-19 Survival Rate","""Blood Thinners, Blood Pressure Meds May Improve COVID-19 Survival Rate""",researchers are investigating why new coronavirus appears to affect cardiovascular system and how blood pressure medications and blood thinners might help. getty images researchers are looking into why new coronavirus seems to affect cardiovascular and respiratory systems. one study concluded blood pressure medications may help with survival rates among people with covid-19. another study said blood thinners could help reduce severity of outcomes among people with covi. ,researchers are looking into why new coronavirus appears to affect cardiovascular system as well as respiratory system .. ,,"""blood pressure medications drugs improve covid-19 coronavirus survival rate, blood thinners improve covid-19 coronavirus survival rate, covid-19 heart health cardiovascular issues"""
